,human_ensembl,human_symbol,mouse_ensembl,mouse_symbol
407,ENSG00000161980,POLR3K,ENSMUSG00000038628,Polr3k
408,ENSG00000121957,GPSM2,ENSMUSG00000027883,Gpsm2
409,ENSG00000163041,H3-3A,ENSMUSG00000060743,H3f3a
410,ENSG00000170540,ARL6IP1,ENSMUSG00000030654,Arl6ip1
411,ENSG00000101447,FAM83D,ENSMUSG00000027654,Fam83d
412,ENSG00000167670,CHAF1A,ENSMUSG00000002835,Chaf1a
413,ENSG00000164442,CITED2,ENSMUSG00000039910,Cited2
414,ENSG00000008517,IL32,missing24,missing24
415,ENSG00000117519,CNN3,ENSMUSG00000053931,Cnn3
416,ENSG00000092853,CLSPN,ENSMUSG00000042489,Clspn
417,ENSG00000166347,CYB5A,ENSMUSG00000024646,Cyb5a
418,ENSG00000147274,RBMX,ENSMUSG00000031134,Rbmx
419,ENSG00000050405,LIMA1,ENSMUSG00000023022,Lima1
420,ENSG00000141560,FN3KRP,ENSMUSG00000039253,Fn3krp
421,ENSG00000184260,H2AC20,ENSMUSG00000068855,H2ac20
422,ENSG00000108055,SMC3,ENSMUSG00000024974,Smc3
423,ENSG00000189057,FAM111B,missing25,missing25
424,ENSG00000125970,RALY,ENSMUSG00000027593,Raly
425,ENSG00000115641,FHL2,ENSMUSG00000008136,Fhl2
426,ENSG00000104147,OIP5,ENSMUSG00000072980,Oip5
427,ENSG00000167461,RAB8A,ENSMUSG00000003037,Rab8a
428,ENSG00000023697,DERA,ENSMUSG00000030225,Dera
429,ENSG00000078304,PPP2R5C,ENSMUSG00000017843,Ppp2r5c
430,ENSG00000099817,POLR2E,ENSMUSG00000004667,Polr2e
431,ENSG00000144354,CDCA7,ENSMUSG00000055612,Cdca7
432,ENSG00000213190,MLLT11,ENSMUSG00000053192,Mllt11
433,ENSG00000115053,NCL,ENSMUSG00000026234,Ncl
434,ENSG00000189403,HMGB1,missing26,missing26
435,ENSG00000141030,COPS3,ENSMUSG00000019373,Cops3
436,ENSG00000066279,ASPM,ENSMUSG00000033952,Aspm
437,ENSG00000176101,SSNA1,ENSMUSG00000026966,Ssna1
438,ENSG00000119640,ACYP1,missing27,missing27
439,ENSG00000188290,HES4,missing28,missing28
440,ENSG00000164754,RAD21,ENSMUSG00000022314,Rad21
441,ENSG00000175643,RMI2,ENSMUSG00000037991,Rmi2
442,ENSG00000104889,RNASEH2A,ENSMUSG00000052926,Rnaseh2a
443,ENSG00000124802,EEF1E1,ENSMUSG00000001707,Eef1e1
444,ENSG00000105223,PLD3,ENSMUSG00000003363,Pld3
445,ENSG00000152154,TMEM178A,ENSMUSG00000024245,Tmem178
446,ENSG00000111247,RAD51AP1,ENSMUSG00000030346,Rad51ap1
447,ENSG00000086666,ZFAND6,ENSMUSG00000030629,Zfand6
448,ENSG00000136861,CDK5RAP2,ENSMUSG00000039298,Cdk5rap2
449,ENSG00000172795,DCP2,ENSMUSG00000024472,Dcp2
450,ENSG00000112118,MCM3,ENSMUSG00000041859,Mcm3
451,ENSG00000119185,ITGB1BP1,ENSMUSG00000062352,Itgb1bp1
452,ENSG00000165480,SKA3,ENSMUSG00000021965,Ska3
453,ENSG00000134333,LDHA,ENSMUSG00000063229,Ldha
454,ENSG00000137812,KNL1,ENSMUSG00000027326,Knl1
455,ENSG00000127483,HP1BP3,ENSMUSG00000028759,Hp1bp3
456,ENSG00000096384,HSP90AB1,ENSMUSG00000023944,Hsp90ab1
457,ENSG00000143183,TMCO1,ENSMUSG00000052428,Tmco1
458,ENSG00000163950,SLBP,ENSMUSG00000004642,Slbp
459,ENSG00000170584,NUDCD2,ENSMUSG00000020328,Nudcd2
460,ENSG00000133119,RFC3,ENSMUSG00000033970,Rfc3
461,ENSG00000125835,SNRPB,ENSMUSG00000027404,Snrpb
462,ENSG00000100567,PSMA3,ENSMUSG00000060073,Psma3
463,ENSG00000205581,HMGN1,ENSMUSG00000040681,Hmgn1
464,ENSG00000080822,CLDND1,ENSMUSG00000022744,Cldnd1
465,ENSG00000122565,CBX3,ENSMUSG00000029836,Cbx3
466,ENSG00000148019,CEP78,ENSMUSG00000041491,Cep78
467,ENSG00000143977,SNRPG,ENSMUSG00000057278,Snrpg
468,ENSG00000134222,PSRC1,ENSMUSG00000068744,Psrc1
469,ENSG00000144339,TMEFF2,ENSMUSG00000026109,Tmeff2
470,ENSG00000183527,PSMG1,ENSMUSG00000022913,Psmg1
471,ENSG00000160813,PPP1R35,ENSMUSG00000029725,Ppp1r35
472,ENSG00000163808,KIF15,ENSMUSG00000036768,Kif15
473,ENSG00000106153,CHCHD2,ENSMUSG00000070493,Chchd2
474,ENSG00000164611,PTTG1,ENSMUSG00000020415,Pttg1
475,ENSG00000213347,MXD3,ENSMUSG00000021485,Mxd3
476,ENSG00000213551,DNAJC9,ENSMUSG00000021811,Dnajc9
477,ENSG00000120992,LYPLA1,ENSMUSG00000025903,Lypla1
478,ENSG00000137831,UACA,ENSMUSG00000034485,Uaca
479,ENSG00000100664,EIF5,ENSMUSG00000021282,Eif5
480,ENSG00000170558,CDH2,ENSMUSG00000024304,Cdh2
481,ENSG00000104904,OAZ1,ENSMUSG00000035242,Oaz1
482,ENSG00000104267,CA2,ENSMUSG00000027562,Car2
483,ENSG00000099901,RANBP1,ENSMUSG00000005732,Ranbp1
484,ENSG00000165527,ARF6,ENSMUSG00000044147,Arf6
485,ENSG00000111196,MAGOHB,ENSMUSG00000030188,Magohb
486,ENSG00000151287,TEX30,ENSMUSG00000026049,Tex30
487,ENSG00000189306,RRP7A,ENSMUSG00000018040,Rrp7a
488,ENSG00000129355,CDKN2D,ENSMUSG00000096472,Cdkn2d
489,ENSG00000046653,GPM6B,ENSMUSG00000031342,Gpm6b
490,ENSG00000118193,KIF14,ENSMUSG00000041498,Kif14
491,ENSG00000100911,PSME2,ENSMUSG00000078153,Psme2b
492,ENSG00000105355,PLIN3,ENSMUSG00000024197,Plin3
493,ENSG00000180992,MRPL14,ENSMUSG00000023939,Mrpl14
494,ENSG00000113460,BRIX1,ENSMUSG00000022247,Brix1
495,ENSG00000112984,KIF20A,ENSMUSG00000003779,Kif20a
496,ENSG00000136824,SMC2,ENSMUSG00000028312,Smc2
497,ENSG00000198901,PRC1,ENSMUSG00000038943,Prc1
498,ENSG00000078018,MAP2,ENSMUSG00000015222,Map2
499,ENSG00000137807,KIF23,ENSMUSG00000032254,Kif23
500,ENSG00000068489,PRR11,ENSMUSG00000020493,Prr11
501,ENSG00000123136,DDX39A,ENSMUSG00000005481,Ddx39a
502,ENSG00000161547,SRSF2,ENSMUSG00000034120,Srsf2
503,ENSG00000175063,UBE2C,ENSMUSG00000001403,Ube2c
504,ENSG00000144320,LNPK,ENSMUSG00000009207,Lnpk
505,ENSG00000184897,H1-10,ENSMUSG00000044927,H1f10
506,ENSG00000136159,NUDT15,ENSMUSG00000033405,Nudt15
507,ENSG00000121774,KHDRBS1,ENSMUSG00000028790,Khdrbs1
508,ENSG00000144136,SLC20A1,ENSMUSG00000027397,Slc20a1
509,ENSG00000174792,ODAPH,ENSMUSG00000096035,Odaph
510,ENSG00000198830,HMGN2,ENSMUSG00000003038,Hmgn2
511,ENSG00000136490,LIMD2,ENSMUSG00000040699,Limd2
512,ENSG00000169689,CENPX,missing29,missing29
513,ENSG00000100380,ST13,ENSMUSG00000022403,St13
514,ENSG00000104738,MCM4,ENSMUSG00000022673,Mcm4
515,ENSG00000156113,KCNMA1,ENSMUSG00000063142,Kcnma1
516,ENSG00000182004,SNRPE,ENSMUSG00000090553,Snrpe
517,ENSG00000112769,LAMA4,ENSMUSG00000019846,Lama4
518,ENSG00000103260,METRN,ENSMUSG00000002274,Metrn
519,ENSG00000108551,RASD1,ENSMUSG00000049892,Rasd1
520,ENSG00000035928,RFC1,ENSMUSG00000029191,Rfc1
521,ENSG00000077152,UBE2T,ENSMUSG00000026429,Ube2t
522,ENSG00000081870,IFT25,ENSMUSG00000063172,Hspb11
523,ENSG00000040275,SPDL1,ENSMUSG00000069910,Spdl1
524,ENSG00000204899,MZT1,ENSMUSG00000033186,Mzt1
525,ENSG00000080824,HSP90AA1,ENSMUSG00000021270,Hsp90aa1
526,ENSG00000025770,NCAPH2,ENSMUSG00000008690,Ncaph2
527,ENSG00000123562,MORF4L2,ENSMUSG00000031422,Morf4l2
528,ENSG00000150753,CCT5,ENSMUSG00000022234,Cct5
529,ENSG00000065911,MTHFD2,ENSMUSG00000005667,Mthfd2
530,ENSG00000197746,PSAP,ENSMUSG00000004207,Psap
531,ENSG00000087365,SF3B2,ENSMUSG00000024853,Sf3b2
532,ENSG00000175305,CCNE2,ENSMUSG00000028212,Ccne2
533,ENSG00000138376,BARD1,ENSMUSG00000026196,Bard1
534,ENSG00000106268,NUDT1,ENSMUSG00000036639,Nudt1
535,ENSG00000182103,FAM181B,ENSMUSG00000051515,Fam181b
536,ENSG00000133302,SLF1,ENSMUSG00000021597,Slf1
537,ENSG00000145050,MANF,ENSMUSG00000032575,Manf
538,ENSG00000166851,PLK1,ENSMUSG00000030867,Plk1
539,ENSG00000116237,ICMT,ENSMUSG00000039662,Icmt
540,ENSG00000160789,LMNA,ENSMUSG00000028063,Lmna
541,ENSG00000123595,RAB9A,ENSMUSG00000079316,Rab9
542,ENSG00000197061,H4C3,missing30,missing30
543,ENSG00000166508,MCM7,ENSMUSG00000029730,Mcm7
544,ENSG00000110435,PDHX,ENSMUSG00000010914,Pdhx
545,ENSG00000079246,XRCC5,ENSMUSG00000026187,Xrcc5
546,ENSG00000094804,CDC6,ENSMUSG00000017499,Cdc6
547,ENSG00000185222,TCEAL9,ENSMUSG00000042712,Tceal9
548,ENSG00000107371,EXOSC3,ENSMUSG00000028322,Exosc3
549,ENSG00000067082,KLF6,ENSMUSG00000000078,Klf6
550,ENSG00000121152,NCAPH,ENSMUSG00000034906,Ncaph
551,ENSG00000149929,HIRIP3,ENSMUSG00000042606,Hirip3
552,ENSG00000169679,BUB1,ENSMUSG00000027379,Bub1
553,ENSG00000153048,CARHSP1,ENSMUSG00000008393,Carhsp1
554,ENSG00000169230,PRELID1,ENSMUSG00000021486,Prelid1
555,ENSG00000120885,CLU,ENSMUSG00000022037,Clu
556,ENSG00000069849,ATP1B3,ENSMUSG00000032412,Atp1b3
557,ENSG00000163453,IGFBP7,ENSMUSG00000036256,Igfbp7
558,ENSG00000006625,GGCT,ENSMUSG00000002797,Ggct
559,ENSG00000130066,SAT1,ENSMUSG00000025283,Sat1
560,ENSG00000181649,PHLDA2,ENSMUSG00000010760,Phlda2
561,ENSG00000139289,PHLDA1,ENSMUSG00000020205,Phlda1
562,ENSG00000148154,UGCG,ENSMUSG00000028381,Ugcg
563,ENSG00000198826,ARHGAP11A,ENSMUSG00000041219,Arhgap11a
564,ENSG00000198937,CCDC167,ENSMUSG00000024018,Ccdc167
565,ENSG00000114200,BCHE,ENSMUSG00000027792,Bche
566,ENSG00000152661,GJA1,ENSMUSG00000055691,Gja6
567,ENSG00000149089,APIP,ENSMUSG00000010911,Apip
568,ENSG00000137804,NUSAP1,ENSMUSG00000027306,Nusap1
569,ENSG00000179029,TMEM107,ENSMUSG00000020895,Tmem107
570,ENSG00000131171,SH3BGRL,ENSMUSG00000031246,Sh3bgrl
571,ENSG00000070087,PFN2,ENSMUSG00000027805,Pfn2
572,ENSG00000188486,H2AX,ENSMUSG00000049932,H2ax
573,ENSG00000139618,BRCA2,ENSMUSG00000041147,Brca2
574,ENSG00000165304,MELK,ENSMUSG00000035683,Melk
575,ENSG00000104368,PLAT,ENSMUSG00000031538,Plat
576,ENSG00000140451,PIF1,ENSMUSG00000041064,Pif1
577,ENSG00000115484,CCT4,ENSMUSG00000007739,Cct4
578,ENSG00000055044,NOP58,ENSMUSG00000026020,Nop58
579,ENSG00000137547,MRPL15,ENSMUSG00000033845,Mrpl15
580,ENSG00000100281,HMGXB4,ENSMUSG00000034518,Hmgxb4
581,ENSG00000104886,PLEKHJ1,ENSMUSG00000035278,Plekhj1
582,ENSG00000085063,CD59,ENSMUSG00000068686,Cd59b
583,ENSG00000150551,LYPD1,ENSMUSG00000026344,Lypd1
584,ENSG00000136527,TRA2B,ENSMUSG00000022858,Tra2b
585,ENSG00000120438,TCP1,ENSMUSG00000068039,Tcp1
586,ENSG00000091651,ORC6,ENSMUSG00000031697,Orc6
587,ENSG00000160753,RUSC1,ENSMUSG00000041263,Rusc1
588,ENSG00000121211,MND1,ENSMUSG00000033752,Mnd1
589,ENSG00000077514,POLD3,missing31,missing31
590,ENSG00000134057,CCNB1,ENSMUSG00000041431,Ccnb1
591,ENSG00000070010,UFD1,ENSMUSG00000005262,Ufd1
592,ENSG00000123416,TUBA1B,ENSMUSG00000023004,Tuba1b
593,ENSG00000076382,SPAG5,ENSMUSG00000002055,Spag5
594,ENSG00000228474,OST4,ENSMUSG00000038803,Ost4
595,ENSG00000169813,HNRNPF,ENSMUSG00000042079,Hnrnpf
596,ENSG00000176890,TYMS,ENSMUSG00000025747,Tyms
597,ENSG00000131116,ZNF428,ENSMUSG00000064264,Zfp428
598,ENSG00000173917,HOXB2,ENSMUSG00000075588,Hoxb2
599,ENSG00000123374,CDK2,ENSMUSG00000025358,Cdk2
600,ENSG00000136156,ITM2B,ENSMUSG00000022108,Itm2b
601,ENSG00000135446,CDK4,ENSMUSG00000006728,Cdk4
602,ENSG00000149554,CHEK1,ENSMUSG00000032113,Chek1
603,ENSG00000147548,NSD3,ENSMUSG00000054823,Nsd3
604,ENSG00000130204,TOMM40,ENSMUSG00000002984,Tomm40
605,ENSG00000173272,MZT2A,ENSMUSG00000022671,Mzt2
606,ENSG00000197451,HNRNPAB,ENSMUSG00000020358,Hnrnpab
607,ENSG00000196839,ADA,ENSMUSG00000017697,Ada
608,ENSG00000137563,GGH,ENSMUSG00000073987,Ggh
609,ENSG00000106554,CHCHD3,ENSMUSG00000053768,Chchd3
610,ENSG00000159055,MIS18A,ENSMUSG00000022978,Mis18a
611,ENSG00000132780,NASP,ENSMUSG00000028693,Nasp
612,ENSG00000187514,PTMA,missing32,missing32
613,ENSG00000196230,TUBB,ENSMUSG00000001525,Tubb5
614,ENSG00000170860,LSM3,ENSMUSG00000034192,Lsm3
615,ENSG00000075218,GTSE1,ENSMUSG00000022385,Gtse1
616,ENSG00000136908,DPM2,ENSMUSG00000026810,Dpm2
617,ENSG00000109805,NCAPG,ENSMUSG00000015880,Ncapg
618,ENSG00000116209,TMEM59,ENSMUSG00000028618,Tmem59
619,ENSG00000177917,ARL6IP6,ENSMUSG00000026960,Arl6ip6
620,ENSG00000094916,CBX5,ENSMUSG00000009575,Cbx5
621,ENSG00000133101,CCNA1,ENSMUSG00000027793,Ccna1
622,ENSG00000143799,PARP1,ENSMUSG00000026496,Parp1
623,ENSG00000106615,RHEB,ENSMUSG00000028945,Rheb
624,ENSG00000149485,FADS1,ENSMUSG00000010663,Fads1
625,ENSG00000100749,VRK1,ENSMUSG00000021115,Vrk1
626,ENSG00000100908,EMC9,ENSMUSG00000022217,Emc9
627,ENSG00000146674,IGFBP3,ENSMUSG00000020427,Igfbp3
628,ENSG00000197858,GPAA1,ENSMUSG00000022561,Gpaa1
629,ENSG00000175745,NR2F1,ENSMUSG00000069171,Nr2f1
630,ENSG00000165474,GJB2,ENSMUSG00000046352,Gjb2
631,ENSG00000183696,UPP1,ENSMUSG00000020407,Upp1
632,ENSG00000104472,CHRAC1,ENSMUSG00000068391,Chrac1
633,ENSG00000131876,SNRPA1,ENSMUSG00000030512,Snrpa1
634,ENSG00000178999,AURKB,ENSMUSG00000020897,Aurkb
635,ENSG00000124207,CSE1L,ENSMUSG00000002718,Cse1l
636,ENSG00000113140,SPARC,ENSMUSG00000018593,Sparc
637,ENSG00000167900,TK1,ENSMUSG00000025574,Tk1
638,ENSG00000114107,CEP70,ENSMUSG00000056267,Cep70
639,ENSG00000153904,DDAH1,ENSMUSG00000028194,Ddah1
640,ENSG00000184207,PGP,ENSMUSG00000043445,Pgp
641,ENSG00000119403,PHF19,ENSMUSG00000026873,Phf19
642,ENSG00000243449,C4orf48,ENSMUSG00000070858,Gm1673
643,ENSG00000159840,ZYX,ENSMUSG00000029860,Zyx
644,ENSG00000170759,KIF5B,ENSMUSG00000006740,Kif5b
645,ENSG00000129534,MIS18BP1,ENSMUSG00000047534,Mis18bp1
646,ENSG00000117592,PRDX6,ENSMUSG00000050114,Prdx6b
647,ENSG00000106462,EZH2,ENSMUSG00000029687,Ezh2
648,ENSG00000165732,DDX21,ENSMUSG00000020075,Ddx21
649,ENSG00000217555,CKLF,ENSMUSG00000054400,Cklf
650,ENSG00000131351,HAUS8,ENSMUSG00000035439,Haus8
651,ENSG00000105894,PTN,ENSMUSG00000029838,Ptn
652,ENSG00000125944,HNRNPR,ENSMUSG00000066037,Hnrnpr
653,ENSG00000167996,FTH1,missing33,missing33
654,ENSG00000171241,SHCBP1,ENSMUSG00000022322,Shcbp1
655,ENSG00000116161,CACYBP,ENSMUSG00000014226,Cacybp
656,ENSG00000153044,CENPH,ENSMUSG00000045273,Cenph
657,ENSG00000106484,MEST,ENSMUSG00000051855,Mest
658,ENSG00000023909,GCLM,ENSMUSG00000028124,Gclm
659,ENSG00000164096,C4orf3,ENSMUSG00000054091,1810037I17Rik
660,ENSG00000182010,RTKN2,ENSMUSG00000037846,Rtkn2
661,ENSG00000118418,HMGN3,ENSMUSG00000066456,Hmgn3
662,ENSG00000087494,PTHLH,ENSMUSG00000048776,Pthlh
663,ENSG00000100526,CDKN3,ENSMUSG00000037628,Cdkn3
664,ENSG00000047634,SCML1,missing34,missing34
665,ENSG00000138160,KIF11,ENSMUSG00000012443,Kif11
666,ENSG00000139910,NOVA1,ENSMUSG00000021047,Nova1
667,ENSG00000104765,BNIP3L,ENSMUSG00000022051,Bnip3l
668,ENSG00000149136,SSRP1,ENSMUSG00000027067,Ssrp1
669,ENSG00000164434,FABP7,ENSMUSG00000019874,Fabp7
670,ENSG00000173114,LRRN3,ENSMUSG00000036295,Lrrn3
671,ENSG00000143401,ANP32E,ENSMUSG00000015749,Anp32e
672,ENSG00000133393,CEP20,ENSMUSG00000022677,Cep20
673,ENSG00000125931,CITED1,ENSMUSG00000051159,Cited1
674,ENSG00000174891,RSRC1,ENSMUSG00000034544,Rsrc1
675,ENSG00000102316,MAGED2,ENSMUSG00000025268,Maged2
676,ENSG00000129197,RPAIN,ENSMUSG00000018449,Rpain
677,ENSG00000005893,LAMP2,ENSMUSG00000016534,Lamp2
678,ENSG00000181449,SOX2,ENSMUSG00000074637,Sox2
679,ENSG00000152240,HAUS1,ENSMUSG00000041840,Haus1
680,ENSG00000173786,CNP,ENSMUSG00000006782,Cnp
681,ENSG00000171208,NETO2,ENSMUSG00000036902,Neto2
682,ENSG00000106628,POLD2,ENSMUSG00000020471,Pold2
683,ENSG00000155755,TMEM237,ENSMUSG00000038079,Tmem237
684,ENSG00000173456,RNF26,ENSMUSG00000072476,Gm9008
685,ENSG00000205937,RNPS1,ENSMUSG00000034681,Rnps1
686,ENSG00000178741,COX5A,ENSMUSG00000000088,Cox5a
687,ENSG00000150687,PRSS23,ENSMUSG00000039405,Prss23
688,ENSG00000142945,KIF2C,ENSMUSG00000028678,Kif2c
689,ENSG00000112297,CRYBG1,ENSMUSG00000019866,Crybg1
690,ENSG00000140525,FANCI,ENSMUSG00000039187,Fanci
691,ENSG00000163320,CGGBP1,ENSMUSG00000054604,Cggbp1
692,ENSG00000137288,UQCC2,ENSMUSG00000024208,Uqcc2
693,ENSG00000108010,GLRX3,ENSMUSG00000031068,Glrx3
694,ENSG00000143256,PFDN2,ENSMUSG00000006412,Pfdn2
695,ENSG00000128228,SDF2L1,ENSMUSG00000022769,Sdf2l1
696,ENSG00000138798,EGF,ENSMUSG00000028017,Egf
697,ENSG00000121390,PSPC1,ENSMUSG00000021938,Pspc1
698,ENSG00000179750,APOBEC3B,missing35,missing35
699,ENSG00000186193,SAPCD2,ENSMUSG00000026955,Sapcd2
700,ENSG00000174721,FGFBP3,ENSMUSG00000047632,Fgfbp3
701,ENSG00000143742,SRP9,ENSMUSG00000026511,Srp9
702,ENSG00000110958,PTGES3,ENSMUSG00000071072,Ptges3
703,ENSG00000164104,HMGB2,ENSMUSG00000054717,Hmgb2
704,ENSG00000148229,POLE3,ENSMUSG00000028394,Pole3
705,ENSG00000164167,LSM6,ENSMUSG00000031683,Lsm6
706,ENSG00000175216,CKAP5,ENSMUSG00000040549,Ckap5
707,ENSG00000161542,PRPSAP1,ENSMUSG00000015869,Prpsap1
708,ENSG00000100345,MYH9,ENSMUSG00000022443,Myh9
709,ENSG00000164087,POC1A,ENSMUSG00000023345,Poc1a
710,ENSG00000106399,RPA3,ENSMUSG00000012483,Rpa3
711,ENSG00000156970,BUB1B,ENSMUSG00000040084,Bub1b
712,ENSG00000177508,IRX3,ENSMUSG00000031734,Irx3
713,ENSG00000082898,XPO1,ENSMUSG00000020290,Xpo1
714,ENSG00000100028,SNRPD3,ENSMUSG00000020180,Snrpd3
715,ENSG00000112312,GMNN,ENSMUSG00000006715,Gmnn
716,ENSG00000113558,SKP1,ENSMUSG00000036309,Skp1
717,ENSG00000138668,HNRNPD,ENSMUSG00000000568,Hnrnpd
718,ENSG00000106355,LSM5,ENSMUSG00000091625,Lsm5
719,ENSG00000087586,AURKA,ENSMUSG00000027496,Aurka
720,ENSG00000144560,VGLL4,ENSMUSG00000030315,Vgll4
721,ENSG00000184564,SLITRK6,ENSMUSG00000045871,Slitrk6
722,ENSG00000097021,ACOT7,ENSMUSG00000028937,Acot7
723,ENSG00000116750,UCHL5,ENSMUSG00000018189,Uchl5
724,ENSG00000051180,RAD51,ENSMUSG00000027323,Rad51
725,ENSG00000169738,DCXR,ENSMUSG00000039450,Dcxr
726,ENSG00000147223,RIPPLY1,ENSMUSG00000072945,Ripply1
727,ENSG00000213719,CLIC1,ENSMUSG00000007041,Clic1
728,ENSG00000135334,AKIRIN2,ENSMUSG00000028291,Akirin2
729,ENSG00000203760,CENPW,ENSMUSG00000075266,Cenpw
730,ENSG00000144834,TAGLN3,ENSMUSG00000022658,Tagln3
731,ENSG00000205531,NAP1L4,ENSMUSG00000059119,Nap1l4
732,ENSG00000170144,HNRNPA3,ENSMUSG00000059005,Hnrnpa3
733,ENSG00000105854,PON2,ENSMUSG00000032667,Pon2
734,ENSG00000075336,TIMM21,ENSMUSG00000024645,Timm21
735,ENSG00000120697,ALG5,ENSMUSG00000036632,Alg5
736,ENSG00000105968,H2AZ2,ENSMUSG00000041126,H2az2
737,ENSG00000130706,ADRM1,ENSMUSG00000042165,Adrm1b
738,ENSG00000214706,IFRD2,ENSMUSG00000010048,Ifrd2
739,ENSG00000150787,PTS,ENSMUSG00000032067,Pts
740,ENSG00000136888,ATP6V1G1,ENSMUSG00000039105,Atp6v1g1
741,ENSG00000187837,H1-2,ENSMUSG00000036181,H1f2
742,ENSG00000145293,ENOPH1,ENSMUSG00000029326,Enoph1
743,ENSG00000135451,TROAP,ENSMUSG00000032783,Troap
744,ENSG00000071054,MAP4K4,ENSMUSG00000026074,Map4k4
745,ENSG00000110092,CCND1,ENSMUSG00000070348,Ccnd1
746,ENSG00000177426,TGIF1,ENSMUSG00000047407,Tgif1
747,ENSG00000126453,BCL2L12,ENSMUSG00000003190,Bcl2l12
748,ENSG00000100162,CENPM,ENSMUSG00000068101,Cenpm
749,ENSG00000170515,PA2G4,ENSMUSG00000025364,Pa2g4
750,ENSG00000135046,ANXA1,ENSMUSG00000024659,Anxa1
751,ENSG00000079931,MOXD1,ENSMUSG00000020000,Moxd1
752,ENSG00000100410,PHF5A,ENSMUSG00000061360,Phf5a
753,ENSG00000072501,SMC1A,ENSMUSG00000041133,Smc1a
754,ENSG00000140319,SRP14,ENSMUSG00000009549,Srp14
755,ENSG00000166582,CENPV,ENSMUSG00000018509,Cenpv
756,ENSG00000198887,SMC5,ENSMUSG00000024943,Smc5
757,ENSG00000167747,C19orf48P,missing36,missing36
758,ENSG00000102109,PCSK1N,ENSMUSG00000039278,Pcsk1n
759,ENSG00000139354,GAS2L3,ENSMUSG00000074802,Gas2l3
760,ENSG00000142871,CCN1,ENSMUSG00000028195,Ccn1
761,ENSG00000090686,USP48,ENSMUSG00000043411,Usp48
762,ENSG00000145354,CISD2,ENSMUSG00000028165,Cisd2
763,ENSG00000107672,NSMCE4A,ENSMUSG00000040331,Nsmce4a
764,ENSG00000158042,MRPL17,ENSMUSG00000030879,Mrpl17
765,ENSG00000122034,GTF3A,ENSMUSG00000016503,Gtf3a
766,ENSG00000117748,RPA2,ENSMUSG00000028884,Rpa2
767,ENSG00000116062,MSH6,ENSMUSG00000005370,Msh6
768,ENSG00000108179,PPIF,ENSMUSG00000021868,Ppif
769,ENSG00000101608,MYL12A,ENSMUSG00000024048,Myl12a
770,ENSG00000185880,TRIM69,ENSMUSG00000033368,Trim69
771,ENSG00000132341,RAN,ENSMUSG00000029430,Ran
772,ENSG00000146731,CCT6A,ENSMUSG00000029447,Cct6a
773,ENSG00000009954,BAZ1B,ENSMUSG00000002748,Baz1b
774,ENSG00000172590,MRPL52,ENSMUSG00000010406,Mrpl52
775,ENSG00000140545,MFGE8,ENSMUSG00000030605,Mfge8
776,ENSG00000146247,PHIP,ENSMUSG00000032253,Phip
777,ENSG00000115756,HPCAL1,ENSMUSG00000071379,Hpcal1
778,ENSG00000115091,ACTR3,ENSMUSG00000026341,Actr3
779,ENSG00000079616,KIF22,ENSMUSG00000030677,Kif22
780,ENSG00000165996,HACD1,ENSMUSG00000063275,Hacd1
781,ENSG00000135919,SERPINE2,ENSMUSG00000026249,Serpine2
782,ENSG00000148362,PAXX,ENSMUSG00000047617,Paxx
783,ENSG00000150347,ARID5B,ENSMUSG00000019947,Arid5b
784,ENSG00000010292,NCAPD2,ENSMUSG00000038252,Ncapd2
785,ENSG00000213626,LBH,ENSMUSG00000024063,Lbh
786,ENSG00000185361,TNFAIP8L1,ENSMUSG00000044469,Tnfaip8l1
787,ENSG00000115541,HSPE1,ENSMUSG00000073676,Hspe1
788,ENSG00000176014,TUBB6,ENSMUSG00000001473,Tubb6
789,ENSG00000100612,DHRS7,ENSMUSG00000109482,Gm4756
790,ENSG00000109084,TMEM97,ENSMUSG00000037278,Tmem97
791,ENSG00000129484,PARP2,ENSMUSG00000036023,Parp2
792,ENSG00000168078,PBK,ENSMUSG00000022033,Pbk
793,ENSG00000184661,CDCA2,ENSMUSG00000048922,Cdca2
794,ENSG00000169641,LUZP1,ENSMUSG00000001089,Luzp1
795,ENSG00000138678,GPAT3,ENSMUSG00000029314,Gpat3
796,ENSG00000051108,HERPUD1,ENSMUSG00000031770,Herpud1
797,ENSG00000090889,KIF4A,ENSMUSG00000034311,Kif4
798,ENSG00000075711,DLG1,ENSMUSG00000022770,Dlg1
799,ENSG00000165898,ISCA2,ENSMUSG00000021241,Isca2
800,ENSG00000166803,PCLAF,ENSMUSG00000040204,Pclaf
801,ENSG00000163171,CDC42EP3,ENSMUSG00000036533,Cdc42ep3
802,ENSG00000005059,MCUB,ENSMUSG00000027994,Mcub
803,ENSG00000136485,DCAF7,ENSMUSG00000049354,Dcaf7
804,ENSG00000115241,PPM1G,ENSMUSG00000029147,Ppm1g
805,ENSG00000184990,SIVA1,ENSMUSG00000064326,Siva1
806,ENSG00000142230,SAE1,ENSMUSG00000052833,Sae1
807,ENSG00000102054,RBBP7,ENSMUSG00000031353,Rbbp7
808,ENSG00000118816,CCNI,ENSMUSG00000063015,Ccni
809,ENSG00000117862,TXNDC12,ENSMUSG00000028567,Txndc12
810,ENSG00000108424,KPNB1,ENSMUSG00000001440,Kpnb1
811,ENSG00000054654,SYNE2,ENSMUSG00000063450,Syne2
